KILLED   platform-darwin-arch (L1, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   ignore-windows-block (L3, 5 條斷言失敗, 2/2 輪皆致死)
KILLED   ignore-zwc-gone (L5, 10 條斷言失敗, 2/2 輪皆致死)
KILLED   posix-nvim-delete (L7, 14 條斷言失敗, 2/2 輪皆致死)
KILLED   windows-nvim-marker (L7, 3 條斷言失敗, 2/2 輪皆致死)
KILLED   windows-nvim-data-backup (L7, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   loader-idempotency (L7, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   codex-duplicate-keys (L6, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   codex-trailing-blank (L6, 4 條斷言失敗, 2/2 輪皆致死)
KILLED   external-checksum (L5, 6 條斷言失敗, 2/2 輪皆致死)
KILLED   apt-script-guard (L2, 5 條斷言失敗, 2/2 輪皆致死)
KILLED   claude-statusline-windows (L6, 16 條斷言失敗, 2/2 輪皆致死)
KILLED   pwsh-profile-target (L2, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   loader-line-content (L7, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   backup-timestamp-fallback (L7, 3 條斷言失敗, 2/2 輪皆致死)
KILLED   backup-timestamp-fallback-windows (L7, 3 條斷言失敗, 2/2 輪皆致死)
KILLED   external-checksum-empty (L5, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   cc-statusline-arch-swap (L5, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   windows-path-not-included (L2, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   pwsh-profile-theme-name (L2, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   posix-script-content-drift (L2, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   pwsh-profile-loader-not-called (L11, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   windows-nvim-plugin-content (L11, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   winget-drop-tree-sitter (L11, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   windows-path-drop-git (L11, 3 條斷言失敗, 2/2 輪皆致死)
KILLED   neovim-skip-aborts-apply (L7, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   seam-leaks-into-production-config (L1, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   init-drops-git-bootstrap (L11, 3 條斷言失敗, 2/2 輪皆致死)
KILLED   probe-drops-m12-check (L11, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   init-git-bootstrap-commented-out (L11, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   init-owner-overridden-later (L11, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   probe-m12-body-gutted (L11, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   test-layer-L8-deleted (L8, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   interpreter-execution-policy-dropped (L2, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   codex-empty-tui-crash (L6, 16 條斷言失敗, 2/2 輪皆致死)
KILLED   platform-pkgmanager-swapped (L1, 6 條斷言失敗, 2/2 輪皆致死)
KILLED   neovim-mise-section-on-arch (L2, 6 條斷言失敗, 2/2 輪皆致死)
KILLED   platform-idlike-ignored (L1, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   platform-idlike-substring (L1, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   neovim-omarchy-check-gone (L2, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   neovim-omarchy-check-inverted (L7, 17 條斷言失敗, 2/2 輪皆致死)
KILLED   pacman-syu (L2, 2 條斷言失敗, 2/2 輪皆致死)
KILLED   pacman-list-drops-neovim (L2, 1 條斷言失敗, 2/2 輪皆致死)
KILLED   zshrc-omarchy-block-gone (L11, 3 條斷言失敗, 2/2 輪皆致死)

gate-mutants: 44/44 killed（每個 mutant 跑 2 輪，全部輪次都要紅才算 killed）
